Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",2017,2017,1000 US$,1256,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",2018,2018,1000 US$,605,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",2019,2019,1000 US$,826,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1169,"Animals, live, non-food",2020,2020,1000 US$,571,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1961,1961,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1962,1962,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1963,1963,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1964,1964,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1965,1965,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1966,1966,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1967,1967,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1968,1968,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1969,1969,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1970,1970,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1971,1971,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1972,1972,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1973,1973,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1974,1974,1000 US$,10,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1975,1975,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1976,1976,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1977,1977,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1978,1978,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1979,1979,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1980,1980,1000 US$,1882,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1981,1981,1000 US$,603,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1982,1982,1000 US$,7,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1983,1983,1000 US$,31,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1984,1984,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1985,1985,1000 US$,32,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1986,1986,1000 US$,55,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1987,1987,1000 US$,16,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1988,1988,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1989,1989,1000 US$,200,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1990,1990,1000 US$,206,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1991,1991,1000 US$,85,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1992,1992,1000 US$,179,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1993,1993,1000 US$,0,*,Unofficial figure
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1994,1994,1000 US$,5,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1995,1995,1000 US$,14,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1996,1996,1000 US$,0,*,Unofficial figure
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1997,1997,1000 US$,0,*,Unofficial figure
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1998,1998,1000 US$,0,*,Unofficial figure
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,1999,1999,1000 US$,0,*,Unofficial figure
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,2000,2000,1000 US$,312,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,2001,2001,1000 US$,677,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,2002,2002,1000 US$,1273,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,2003,2003,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,2004,2004,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,2005,2005,1000 US$,0,F,FAO estimate
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,2006,2006,1000 US$,0,F,FAO estimate
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,2007,2007,1000 US$,0,F,FAO estimate
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,2008,2008,1000 US$,0,F,FAO estimate
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,2009,2009,1000 US$,0,F,FAO estimate
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,2010,2010,1000 US$,0,F,FAO estimate
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,2011,2011,1000 US$,0,F,FAO estimate
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,2012,2012,1000 US$,141,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,2013,2013,1000 US$,1681,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,946,Buffaloes,2017,2017,1000 US$,422,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1126,Camels,1961,1961,1000 US$,0,,Official data
TCL,Crops and livestock products,165,Pakistan,5922,Export Value,1126,Camels,1962,1962,1000 US$,0,,Official data
